ID,Title,Year,IMDb,Genres,Runtime
96,Saving Mr. Banks,2013,7.5,"Biography,Comedy,Drama",125
97,Icarus,2017,7.9,"Documentary,Sport,Thriller",120
98,Jiro Dreams of Sushi,2011,7.9,Documentary,81
99,Corpse Bride,2005,7.3,"Animation,Drama,Family,Fantasy,Musical,Romance",77
100,Jerry Maguire,1996,7.3,"Comedy,Drama,Romance,Sport",139
101,The Death of Stalin,2017,7.2,"Comedy,Drama,History",107
102,GoldenEye,1995,7.2,"Action,Adventure,Thriller",130
103,The Boy in the Striped Pyjamas,2008,7.8,"Drama,War",94
104,Amy,2015,7.8,Drama,60
105,Ralph Breaks the Internet,2018,7.1,"Animation,Adventure,Comedy,Family,Fantasy",112
106,Good Time,2017,7.4,"Crime,Drama,Thriller",102
107,Ip Man 2,2010,7.5,"Action,Biography,Drama,History",108
108,The Little Prince,2015,7.7,"Animation,Adventure,Drama,Family,Fantasy",108
109,The Spectacular Now,2013,7.1,"Comedy,Drama,Romance",95
110,Baahubali 2: The Conclusion,2017,8.2,"Action,Drama",167
111,Black Mirror: Bandersnatch,2018,7.2,"Drama,Mystery,Sci-Fi,Thriller",90
112,PK,2014,8.1,"Comedy,Drama,Fantasy",153
113,Extraction,2020,6.8,"Action,Thriller",116
114,The Lobster,2015,7.2,"Comedy,Drama,Romance,Sci-Fi,Thriller",119
115,Blue Valentine,2010,7.4,"Drama,Romance",112
116,Zindagi Na Milegi Dobara,2011,8.1,"Comedy,Drama",155
117,Green Room,2015,7,"Horror,Music,Thriller",95
118,Kung Fu Panda 2,2011,7.2,"Animation,Action,Adventure,Comedy,Family,Fantasy",90
119,The Ballad of Buster Scruggs,2018,7.3,"Comedy,Drama,Musical,Mystery,Romance,Western",133
120,Cloverfield,2008,7,"Action,Adventure,Horror,Mystery,Sci-Fi,Thriller",85
121,Burning,2018,7.5,"Drama,Mystery",148
122,The Adventures of Tintin,2011,7.3,"Animation,Action,Adventure,Family,Mystery",107
123,Bolt,2008,6.8,"Animation,Adventure,Comedy,Drama,Family",96
124,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,"Animation,Action,Drama,Fantasy,Sci-Fi",87
125,Chasing Amy,1997,7.2,"Comedy,Drama,Romance",113
126,The Princess and the Frog,2009,7.1,"Animation,Adventure,Comedy,Family,Fantasy,Musical,Romance",97
127,Bad Genius,2017,7.6,"Comedy,Crime,Drama,Thriller",130
128,The Wicker Man,1973,7.5,"Horror,Mystery,Thriller",88
129,A Single Man,2009,7.6,"Drama,Romance",99
130,Blow,2001,7.6,"Biography,Crime,Drama",124
131,The Squid and the Whale,2005,7.3,"Comedy,Drama",81
132,My Life as a Zucchini,2016,7.8,"Animation,Comedy,Drama,Family",66
133,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,7.7,Documentary,94
134,Barfi!,2012,8.1,"Comedy,Drama,Romance",151
135,Frances Ha,2013,7.5,"Comedy,Drama,Romance",86
136,Tootsie,1982,7.4,"Comedy,Drama,Romance",116
137,Solo: A Star Wars Story,2018,6.9,"Action,Adventure,Sci-Fi",135
138,Steve Jobs,2015,7.2,"Biography,Drama",122
139,Tremors,1990,7.1,"Comedy,Horror",96
140,The Croods,2013,7.2,"Animation,Action,Adventure,Comedy,Family,Fantasy",98
141,Locke,2014,7.1,Drama,85
142,Bill Burr: I'm Sorry You Feel That Way,2014,8.4,Comedy,80
143,Starred Up,2013,7.4,"Crime,Drama",106
144,Mudbound,2017,7.4,"Drama,War",134
145,Austin Powers: International Man of Mystery,1997,7,"Adventure,Comedy",94
146,Blue Ruin,2013,7.1,"Crime,Drama,Thriller",90
147,The Patriot,2000,7.2,"Action,Drama,History,War",165
148,Babel,2006,7.4,Drama,143
149,The Square,2013,8.1,"Comedy,Drama",151
150,Gerald's Game,2017,6.6,"Drama,Horror,Thriller",103
151,Miracle,2004,7.5,"Biography,Drama,History,Sport",135
152,Swades,2004,8.2,Drama,210
153,Tinker Tailor Soldier Spy,2011,7.1,"Drama,Mystery,Thriller",122
154,The Witch,2015,6.9,"Drama,Horror,Mystery",92
155,Haider,2014,8.1,"Action,Crime,Drama,Thriller",160
156,Padman,2018,7.9,"Comedy,Drama",140
157,Hush,2016,6.6,"Horror,Thriller",82
158,Elizabeth,1998,7.4,"Biography,Drama,History",124
159,Miss Americana,2020,7.4,Documentary,85
160,Christopher Robin,2018,7.3,"Comedy,Drama,Family,Fantasy",104
161,I Lost My Body,2019,7.6,"Animation,Drama,Fantasy,Romance",81
162,I Am Mother,2019,6.7,"Drama,Mystery,Sci-Fi,Thriller",113
163,Lupin the Third: The Castle of Cagliostro,1979,7.7,"Animation,Adventure,Family,Fantasy",100
164,The Autopsy of Jane Doe,2016,6.8,"Horror,Mystery,Thriller",86
165,Virunga,2014,8.2,"Documentary,War",100
166,Freedom Writers,2007,7.5,"Biography,Crime,Drama",123
167,The Master,2012,7.2,Drama,138
168,A Serious Man,2009,7,"Comedy,Drama",106
169,The King,2019,7.2,"Biography,Drama,History,Romance,War",140
170,The Breadwinner,2017,7.7,"Animation,Drama,Family,War",94
171,The Boy Who Harnessed the Wind,2019,7.6,Drama,113
172,Article 15,2019,8.3,"Crime,Drama,Mystery",130
173,The Killing of a Sacred Deer,2017,7,"Drama,Horror,Mystery,Thriller",121
174,Lawless,2012,7.3,"Crime,Drama",116
175,Kabhi Khushi Kabhie Gham,2001,7.4,"Drama,Musical,Romance",210
176,Charlie and the Chocolate Factory,2005,6.6,"Adventure,Comedy,Family,Fantasy,Musical",115
177,Freaks,2019,6.7,"Drama,Mystery,Sci-Fi,Thriller",105
178,Hannah Gadsby: Nanette,2018,8.2,"Documentary,Comedy",69
179,The Mask of Zorro,1998,6.7,"Action,Adventure,Comedy,Romance,Thriller,Western",136
180,The Natural,1984,7.5,"Drama,Sport",138
181,Equilibrium,2002,7.4,"Action,Drama,Sci-Fi,Thriller",107
182,Arthur Christmas,2011,7.1,"Animation,Adventure,Comedy,Family,Fantasy",97
183,The Rainmaker,1997,7.2,"Crime,Drama,Thriller",135
184,Winter on Fire: Ukraine's Fight for Freedom,2015,8.4,Documentary,102
185,Always Be My Maybe,2019,6.8,"Comedy,Romance",101
186,The Crying Game,1992,7.2,"Crime,Drama,Romance,Thriller",112
187,War Horse,2011,7.2,"Action,Adventure,Drama,History,War",146
188,Shot Caller,2017,7.3,"Crime,Drama,Thriller",121
189,The Invitation,2015,6.6,"Drama,Mystery,Thriller",100
190,A Most Violent Year,2014,7,"Action,Crime,Drama,Thriller",125
191,The Other Guys,2010,6.6,"Action,Comedy,Crime",107
192,Kapoor & Sons,2016,7.7,"Comedy,Drama,Romance",132
193,On Body and Soul,2017,7.6,"Drama,Fantasy,Mystery,Romance",116
194,The Fundamentals of Caring,2016,7.3,"Comedy,Drama",97
195,Insidious,2010,6.8,"Horror,Mystery,Thriller",103
196,Bill Burr: Paper Tiger,2019,8.2,Comedy,67
197,Bad Boys,1995,6.9,"Action,Comedy,Crime,Thriller",119
198,The Foreigner,2017,7,"Action,Thriller",113
199,The Danish Girl,2015,7.1,"Biography,Drama,Romance",119
200,The Girl with All the Gifts,2016,6.6,"Drama,Horror,Sci-Fi,Thriller",111
201,Bird Box,2018,6.6,"Drama,Horror,Sci-Fi",124
202,The Ring,2002,7.1,"Horror,Mystery",115
203,Hostiles,2017,7.2,"Drama,Western",134
204,Sairat,2016,8.3,"Drama,Romance",174
205,Trumbo,2015,7.5,"Biography,Drama",124
206,LA 92,2017,8.2,"Documentary,History",114
207,20th Century Women,2016,7.3,"Comedy,Drama",119
208,Kal Ho Naa Ho,2003,8,"Comedy,Drama,Romance",186
209,Swiss Army Man,2016,7,"Comedy,Drama,Fantasy,Romance",97
210,In This Corner of the World,2016,7.8,"Animation,Drama,Family,History,War",129
211,A Ghost Story,2017,6.9,"Drama,Fantasy,Romance",92
212,United 93,2006,7.5,"Drama,History,Thriller",111
213,Patriot Games,1992,6.9,"Action,Thriller",117
214,The Secret Life of Pets 2,2019,6.5,"Animation,Adventure,Comedy,Family",86
215,Hitch,2005,6.6,"Comedy,Romance",118
216,The Young Offenders,2016,7.1,Comedy,30
217,Enemy,2013,6.9,"Drama,Mystery,Thriller",91
218,Mirage,2018,7.4,"Drama,Mystery,Romance,Thriller",128
219,Everybody's Everything,2019,7.4,Documentary,116
220,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,"Action,Adventure",122
221,The Guernsey Literary & Potato Peel Pie Society,2018,7.4,"Drama,Romance,War",124
222,I Don't Feel at Home in This World Anymore,2017,6.9,"Comedy,Crime,Drama,Thriller",93
223,The Endless,2018,6.5,"Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",111
224,Julie & Julia,2009,7,"Biography,Drama,Romance",123
225,The Game Changers,2019,7.9,Documentary,108
226,Under the Shadow,2016,6.9,"Drama,Horror,Thriller,War",84
227,Angel Has Fallen,2019,6.4,"Action,Thriller",121
228,Kon-Tiki,2012,7.2,"Adventure,Biography,Drama,History",118
229,Mary Poppins Returns,2018,6.7,"Comedy,Family,Fantasy,Musical",130
230,Kajaki,2014,7.1,"Adventure,Biography,Drama,Thriller,War",108
231,The Fear of 13,2015,7.7,"Documentary,Crime,Mystery",96
232,The Night Comes for Us,2018,7,"Action,Thriller",121
233,Blood Father,2016,6.4,"Action,Crime,Drama,Thriller",88
234,Stree,2018,7.6,"Comedy,Horror",128
235,American Factory,2019,7.4,Documentary,110
236,Code 8,2019,6.1,"Action,Crime,Drama,Sci-Fi,Thriller",98
237,Salt,2010,6.4,"Action,Mystery,Thriller",100
238,The Hundred-Foot Journey,2014,7.3,"Comedy,Drama",122
239,The Distinguished Citizen,2016,7.5,"Comedy,Drama",118
240,Scooby-Doo on Zombie Island,1998,7.8,"Animation,Adventure,Comedy,Family,Fantasy,Mystery",77
241,Chasing Coral,2017,8.1,Documentary,93
242,The End of the Tour,2015,7.3,"Biography,Drama",106
243,The One I Love,2014,7.1,"Comedy,Drama,Sci-Fi",91
244,Underworld,2003,7,"Action,Fantasy,Thriller",121
245,The Death of Mr. Lazarescu,2005,7.9,"Comedy,Drama",153
246,Madagascar: Escape 2 Africa,2008,6.6,"Animation,Adventure,Comedy,Family",89
247,The Wolf's Call,2019,6.9,"Action,Adventure,Sci-Fi,Thriller",115
248,What Happened to Monday,2017,6.9,"Action,Adventure,Crime,Fantasy,Mystery,Sci-Fi,Thriller",123
249,The Willoughbys,2020,6.4,"Animation,Adventure,Comedy,Family",90
250,The White Helmets,2016,7.5,"Documentary,Short,Crime,War",41
251,Suburra,2015,7.4,"Action,Crime",50
252,The Matrix Revolutions,2003,6.8,"Action,Sci-Fi",129
253,Richard Pryor: Live in Concert,1979,8.2,Comedy,78
254,Austin Powers: The Spy Who Shagged Me,1999,6.6,"Action,Adventure,Comedy,Crime",95
255,Get Him to the Greek,2010,6.4,"Comedy,Music",109
256,Slow West,2015,6.9,"Action,Adventure,Drama,Romance,Thriller,Western",84
257,The Meyerowitz Stories (New and Selected),2017,6.9,"Comedy,Drama",112
258,The Battered Bastards of Baseball,2014,8,"Documentary,Sport",80
259,The Perfection,2018,6.1,"Drama,Horror,Thriller",90
260,Ip Man 3,2015,7.1,"Action,Biography,Drama",105
261,Sinister,2012,6.8,"Horror,Mystery,Thriller",110
262,Rush: Beyond the Lighted Stage,2010,8.4,"Documentary,Biography,Music",107
263,20 Feet from Stardom,2013,7.4,"Documentary,Biography,Music",91
264,The Stanford Prison Experiment,2015,6.9,"Biography,Drama,History,Thriller",122
265,My Week with Marilyn,2011,7,"Biography,Drama",99
266,Catfish,2010,7.1,"Documentary,Drama,Mystery,Thriller",87
267,Secret Superstar,2017,7.9,"Drama,Music",150
268,Private Life,2018,7.2,"Comedy,Drama",123
269,Jarhead,2005,7,"Action,Biography,Drama,War",125
270,Yes Man,2008,6.8,"Comedy,Romance",104
271,For the Love of Spock,2016,7.6,"Documentary,Biography",111
272,Goon,2012,6.8,"Comedy,Drama,Sport",92
273,Ace Ventura: Pet Detective,1994,6.9,Comedy,86
274,Inequality for All,2013,8,Documentary,89
275,Olympus Has Fallen,2013,6.5,"Action,Thriller",119
276,Dave Chappelle: Sticks & Stones,2019,8.5,Comedy,65
277,John Mulaney: Kid Gorgeous at Radio City,2018,7.9,Comedy,65
278,La Bamba,1987,6.9,"Biography,Drama,Music",108
