ID,Title,Year,IMDb,Genres,Runtime
5010,Conversations with Other Women,2006,7,"Comedy,Drama,Romance",84
5011,Intact,2001,6.9,"Drama,Fantasy,Romance,Thriller",108
5012,Apostasy,2017,6.8,Drama,95
5013,Oedipus Rex,1967,7.4,Drama,104
5014,Black Souls,2014,6.8,"Crime,Drama",109
5015,Way Down East,1920,7.4,"Drama,Romance",145
5016,The Violin,2005,7.7,"Drama,Music",98
5017,Zama,2017,6.7,Drama,115
5018,Death of a Superhero,2011,7.1,Drama,97
5019,James White,2015,7.1,Drama,85
5020,Images,1972,7.1,"Drama,Horror,Mystery",104
5021,99 River Street,1953,7.4,"Action,Crime,Drama,Film-Noir,Thriller",83
5022,Next,2007,6.2,"Action,Sci-Fi,Thriller",96
5023,Grave Encounters,2011,6.1,Horror,92
5024,The Woman in Green,1945,6.7,"Drama,Mystery",68
5025,Taking Chance,2009,7.4,"Drama,War",77
5026,Kansas City Confidential,1952,7.4,"Crime,Drama,Film-Noir,Thriller",99
5027,The Street Fighter,1974,7.1,"Action,Crime,Thriller",91
5028,Spun,2002,6.8,"Comedy,Crime,Drama",101
5029,Flight of the Butterflies,2012,6.9,"Documentary,Biography,Drama,Family",40
5030,This Beautiful Fantastic,2016,6.9,"Comedy,Drama,Romance",100
5031,Henri-Georges Clouzot's Inferno,2009,7.5,Documentary,100
5032,The Private Life of Henry VIII,1933,7.1,"Biography,Comedy,Drama,History,Romance",97
5033,The Forbidden Room,2015,6.1,"Comedy,Mystery",130
5034,Suddenly,1954,6.8,"Crime,Drama,Film-Noir,Thriller",77
5035,In the Soup,1992,7.1,"Comedy,Drama",93
5036,Orphans of the Storm,1921,7.4,"Drama,History,Romance",150
5037,A Late Quartet,2012,7.1,"Drama,Music",105
5038,Inferno,1980,6.6,"Action,Adventure,Crime,Drama,Mystery,Thriller",121
5039,Frequently Asked Questions About Time Travel,2009,7.1,"Comedy,Sci-Fi",83
5040,The Vanishing,2018,5.8,"Crime,Drama,Mystery,Thriller",107
5041,Antarctica: A Year on Ice,2013,7.6,"Documentary,Adventure,Biography,Drama",91
5042,The Ultimate Gift,2006,7.3,"Drama,Family,Romance",114
5043,What Have You Done to Solange?,1972,7,"Horror,Mystery,Thriller",107
5044,Things to Come,1936,6.7,Drama,102
5045,Alice Sweet Alice,1976,6.5,"Crime,Drama,Horror,Mystery,Thriller",107
5046,How I Ended This Summer,2010,7,Drama,130
5047,To End All Wars,2001,7,"Action,Drama,War",125
5048,Lila Says,2005,6.9,"Crime,Drama,Romance",89
5049,Admiral,2015,7,"Action,Adventure,Biography,Drama,History",151
5050,The Fits,2016,6.7,"Drama,Music",72
5051,The Chant of Jimmie Blacksmith,1978,7.3,"Biography,Crime,Drama,History",122
5052,Keep the Lights On,2012,6.4,"Drama,Romance",101
5053,Marjorie Prime,2017,6.3,"Drama,Mystery,Romance,Sci-Fi",99
5054,Bunty Aur Babli,2005,6.2,"Comedy,Drama,Romance",170
5055,Fear of a Black Hat,1994,7.2,"Comedy,Music",88
5056,The Fencer,2015,7.1,"Biography,Drama,History,Sport",99
5057,Keep the Change,2018,6.3,"Comedy,Romance",94
5058,The Shooting,1966,6.6,Western,82
5059,Two Hands,1999,7.1,"Comedy,Crime,Thriller",103
5060,The Golden Coach,1952,7,"Comedy,Drama,History,Romance",103
5061,Savior,1998,7.3,"Drama,War",103
5062,Young Sherlock Holmes,1985,6.8,"Adventure,Fantasy,Mystery,Thriller",109
5063,Starry Eyes,2014,6,"Drama,Fantasy,Horror,Thriller",98
5064,Home,2009,8.6,"Animation,Adventure,Comedy,Family,Fantasy,Sci-Fi",94
5065,The Southerner,1945,7.1,Drama,92
5066,Orchestra Rehearsal,1978,7.2,"Comedy,Drama,Music",70
5067,Family,2019,6.3,"Drama,Family",60
5068,Narco Cultura,2013,7.2,Documentary,103
5069,Harmontown,2014,7.3,"Comedy,Talk-Show",
5070,Baby Boom,1987,6.2,"Comedy,Drama,Romance",110
5071,Oddball,2015,6.4,"Adventure,Family",95
5072,Dr. Jekyll and Mr. Hyde,1920,7,"Horror,Sci-Fi",98
5073,Tiger Zinda Hai,2017,6,"Action,Adventure,Thriller",161
5074,Ill Manors,2012,7.1,"Crime,Drama",121
5075,Hollywood Shuffle,1987,7,Comedy,78
5076,They Look Like People,2016,5.9,"Drama,Horror,Mystery,Thriller",80
5077,American Grindhouse,2011,7.1,"Documentary,Action,Comedy,History,Horror",80
5078,The Winslow Boy,1999,7.3,Drama,117
5079,The Retrieval,2014,6.6,"Adventure,Drama,Western",92
5080,The Comedy of Terrors,1964,6.7,"Comedy,Horror",84
5081,11:55,2017,4.9,"Crime,Drama",80
5082,Everlasting,2016,6.6,"Crime,Drama,Mystery,Romance,Thriller",85
5083,Cobra Verde,1987,7,"Adventure,Drama",111
5084,Cutter's Way,1981,6.9,"Crime,Drama,Mystery,Thriller",109
5085,Sweet Land,2005,7.1,"Drama,Romance",110
5086,T-Men,1948,7,"Crime,Film-Noir,Thriller",92
5087,The Family I Had,2017,6.9,"Documentary,Crime",77
5088,Twist of Faith,2005,7.2,"Drama,Romance",85
5089,Brad's Status,2017,6.5,"Comedy,Drama,Music",102
5090,Super Inframan,1975,6.3,"Action,Sci-Fi",88
5091,Trilogy of Terror,1975,6.6,"Horror,Thriller",72
5092,102 Not Out,2018,7.4,"Comedy,Drama",102
5093,Cash Only,2015,6.1,"Crime,Drama,Thriller",91
5094,Detainment,2018,7.4,"Short,Crime,Drama",30
5095,Hichki,2018,7.5,"Comedy,Drama",116
5096,The English Surgeon,2009,8.1,Documentary,94
5097,The Dirties,2013,6.9,"Crime,Drama",83
5098,Unplanned,2019,5.8,"Biography,Drama",109
5099,The Front,1976,7.3,Drama,95
5100,College,1927,7.1,Comedy,30
5101,Never Grow Old,2019,5.9,"Action,Drama,Western",100
5102,Seoul Station,2016,6.1,"Animation,Horror,Thriller",92
5103,Across 110th Street,1972,7,"Action,Crime,Drama,Thriller",102
5104,Ice Mother,2017,6.8,"Comedy,Drama,Romance",106
5105,Royal Wedding,1951,6.7,"Comedy,Musical,Romance",93
5106,Almost Holy,2015,7.5,"Documentary,Biography,Drama,News",96
5107,The Assassin,2015,6.3,"Action,Crime,Drama,Thriller",109
5108,Bad Samaritan,2018,6.4,"Crime,Horror,Thriller",110
5109,Stations of the Cross,2014,7.4,Drama,110
5110,Eden,2012,6.6,"Biography,Drama,Music",131
5111,Love on a Leash,2011,9.3,"Comedy,Drama,Fantasy,Romance",90
5112,Dreams with Sharp Teeth,2008,7.8,"Documentary,Biography",96
5113,Little Big Man,1970,7.6,"Adventure,Comedy,Drama,Western",139
5114,Jellyfish,2007,7,Drama,101
5115,Do You Trust this Computer?,2018,7.4,Documentary,78
5116,The King of Masks,1995,7.7,Drama,91
5117,Big Eden,2000,7.3,"Comedy,Drama,Romance",118
5118,The Cat o' Nine Tails,1971,6.7,"Horror,Mystery,Thriller",112
5119,Brimstone,2016,7.1,"Drama,Mystery,Thriller,Western",148
5120,LFO,2013,6.6,"Drama,Sci-Fi",94
5121,Cyrano de Bergerac,1950,7.5,"Comedy,Drama,History,Romance",137
5122,Rabid,1977,6.3,"Horror,Sci-Fi",107
5123,Of Human Bondage,1934,7.2,"Drama,Romance",83
5124,Kung Fu Jungle,2014,6.5,"Action,Crime,Thriller",100
5125,Hagazussa,2018,5.9,"Drama,Horror",102
5126,Euthanizer,2017,6.8,"Drama,Horror,Thriller",85
5127,The Marriage Circle,1924,7.2,Comedy,85
5128,The World Before Your Feet,2018,7.6,Documentary,95
5129,On Any Sunday,1971,7.8,"Documentary,Sport",96
5130,In Which We Serve,1942,7.2,"Drama,War",114
5131,The Children Act,2017,6.7,Drama,105
5132,Convoy,1978,6.4,"Action,Drama",110
5133,What Will People Say,2017,7.4,Drama,106
5134,The Exorcist III,1990,6.4,"Drama,Horror,Mystery",110
5135,Off the Rails,2016,7.1,Comedy,
5136,Long Weekend,1978,6.6,"Horror,Mystery,Thriller",97
5137,Return of the Hero,2018,6.5,"Comedy,History",90
5138,Kid Cannabis,2014,6.4,"Biography,Comedy,Crime,Drama",110
5139,Beauty Is Embarrassing,2012,7.4,"Documentary,Biography,Comedy",88
5140,Blue My Mind,2018,6.1,"Drama,Fantasy",97
5141,The Inspector General,1949,6.8,"Comedy,Musical,Romance",102
5142,Animal Factory,2000,6.6,"Crime,Drama",94
5143,Shanghai Triad,1995,7.1,"Crime,Drama,History,Romance,Thriller",108
5144,Gloria Bell,2018,6.3,"Comedy,Drama,Romance",102
5145,The Prophecy,1995,6.5,"Action,Crime,Drama,Fantasy,Horror,Mystery,Thriller",98
5146,Manufactured Landscapes,2006,7.3,Documentary,86
5147,"Cairo 6,7,8",2010,7.5,Drama,100
5148,The Way of the Gun,2000,6.7,"Action,Crime,Drama,Thriller",119
5149,Soapdish,1991,6.6,"Comedy,Romance",97
5150,The Third Murder,2017,6.7,"Crime,Drama,Mystery",124
5151,Big Fan,2009,6.7,"Comedy,Crime,Drama,Sport",88
5152,Night Owls,2015,6.2,"Comedy,Drama",90
5153,Call Me Lucky,2015,7.6,"Documentary,Biography,Comedy",106
5154,Anand,1971,8.7,"Drama,Musical",122
5155,The Mule,2014,6.3,"Crime,Drama,Thriller",116
5156,The Shout,1978,6.7,"Drama,Horror",86
5157,The Dark,2018,5.6,"Adventure,Horror,Thriller",99
5158,The Irish Pub,2013,7.3,"Documentary,History,Music",76
5159,Charlie's Country,2013,7.2,Drama,108
5160,Autoluminescent: Rowland S. Howard,2011,7.9,"Documentary,Music",110
5161,Never on Sunday,1960,7.3,"Comedy,Drama,Romance",91
5162,The Gateway,2018,5.5,Sci-Fi,90
5163,The Pope's Toilet,2007,7.3,"Comedy,Drama",90
5164,Hot Summer Nights,2018,6.4,"Comedy,Crime,Drama,Romance",107
5165,Robin Hood,1922,7.2,"Action,Adventure,Drama,History",140
5166,Palo Alto,2014,6.2,Drama,100
5167,Ray Harryhausen: Special Effects Titan,2011,7.5,"Documentary,Biography",90
5168,The Goldfinch,2019,6.2,Drama,149
5169,Park Row,1952,7.2,"Drama,Thriller",83
5170,Kundo: Age of the Rampant,2014,6.8,"Action,Drama,History",137
5171,Book Club,2018,6.1,"Comedy,Drama,Romance",104
5172,King of the Ants,2003,6.2,"Crime,Drama,Thriller",102
5173,The Opposite of Sex,1998,6.3,"Comedy,Drama,Romance",105
5174,Hidden Agenda,1990,6.9,"Drama,Thriller",108
5175,The Italian,2005,7.5,Drama,90
5176,Photograph,2019,6.8,"Drama,Romance",110
5177,Night Comes On,2018,6.5,Drama,86
5178,Untold Scandal,2003,6.9,"Drama,Mystery,Romance",32
5179,The Hanging Garden,1997,6.8,"Drama,Romance",91
5180,Dreamchild,1985,6.8,"Biography,Comedy,Drama,Fantasy,Romance",94
5181,Unmistaken Child,2009,7.5,Documentary,102
5182,22 Bullets,2010,6.7,"Action,Crime,Drama,Thriller",117
5183,The Scarlet Pimpernel,1934,7.4,"Action,Drama,Romance",142
5184,The Story of Luke,2013,7.2,"Comedy,Drama",96
5185,Lost Angels: Skid Row Is My Home,2012,7.5,"Documentary,News",77
5186,Always Shine,2016,5.6,"Drama,Horror,Mystery,Thriller",85
5187,Elizabethtown,2005,6.4,"Comedy,Drama,Romance",123
5188,After the Dark,2013,5.7,"Drama,Fantasy,Sci-Fi",107
5189,G.B.F.,2013,5.9,"Comedy,Drama,Romance",92
5190,I Spit on Your Grave,2010,6.3,"Horror,Thriller",108
5191,American Gigolo,1980,6.2,"Crime,Drama,Mystery,Romance,Thriller",117
5192,Outfoxed: Rupert Murdoch's War on Journalism,2004,7.5,Documentary,75
5193,Upside Down: The Creation Records Story,2010,7.2,"Documentary,Music",101
5194,White Zombie,1932,6.3,Horror,69
5195,Pork Chop Hill,1959,7.1,"Action,Drama,War",97
5196,As If I Am Not There,2010,7.2,Drama,109
5197,The Special Relationship,2010,6.7,"Biography,Drama,History",93
5198,Woman on the Run,1950,7.3,"Crime,Drama,Film-Noir,Thriller",77
5199,Louis C.K.: Shameless,2007,8.6,Comedy,56
5200,Code Black,2014,7.2,Drama,42
5201,The Departure,2017,7,Drama,70
5202,We Have Always Lived in the Castle,2019,5.6,"Drama,Mystery,Thriller",90
5203,King Corn,2007,7,Documentary,88
5204,"People, Places, Things",2015,6.9,Talk-Show,
5205,Something from Nothing: The Art of Rap,2012,7.2,"Documentary,Music",106
5206,The Age of Stupid,2009,7,"Documentary,History,News,War",92
5207,Chris & Don: A Love Story,2007,7.5,"Documentary,Biography,Romance",90
5208,Angels Wear White,2017,7.2,Drama,107
5209,King and Country,1964,7.4,"Drama,War",88
5210,Mr. Majestyk,1974,6.8,"Action,Crime,Drama,Romance,Thriller",103
5211,Two Night Stand,2014,6.4,"Comedy,Romance",86
5212,The Four Feathers,2002,6.5,"Action,Adventure,Drama,Romance,War",132
5213,The Joneses,2010,6.5,"Comedy,Drama",96
5214,Top Spin,2014,6.9,Documentary,80
5215,Orange County,2002,6.2,"Comedy,Drama,Romance",44
5216,Saturday Church,2017,6.3,"Drama,Fantasy,Musical",82
5217,London River,2009,6.8,"Drama,Mystery",84
5218,A Vigilante,2018,5.6,"Crime,Drama,Mystery,Thriller",91
5219,Tumhari Sulu,2017,7,"Comedy,Drama",150
5220,The Hornet's Nest,2014,6.6,"Documentary,Action,History,War",93
5221,A Quiet Passion,2016,6.4,"Biography,Drama",125
5222,The Trotsky,2010,6.8,"Comedy,Drama",120
5223,We Live in Public,2009,7.2,,
5224,"Accidental Courtesy: Daryl Davis, Race & America",2016,7.6,"Documentary,Biography,History",96
5225,The House That Dripped Blood,1971,6.6,Horror,102
5226,King Lear,2018,6.1,"Drama,History",115
5227,The Big Kahuna,2000,6.6,"Drama,Comedy",90
5228,Bolivia,2001,7.3,Drama,75
5229,The Story of Louis Pasteur,1936,7.3,"Biography,Drama,History",86
5230,Dressed to Kill,1946,6.9,"Mystery,Thriller",104
5231,Master of the Universe,2013,7.2,Documentary,88
5232,On Chesil Beach,2018,6.3,"Drama,Music,Romance",110
5233,McKellen: Playing the Part,2018,7.3,"Documentary,Biography",92
5234,Beauty Mark,2017,6.5,Drama,87
5235,Airplane II: The Sequel,1982,6.2,"Comedy,Sci-Fi",85
5236,The Lady Vanishes,1938,7.8,"Mystery,Thriller",96
5237,Nuts!,2016,7.1,"Documentary,Animation",79
5238,White Lightning,1973,6.4,"Action,Drama,Crime",101
5239,The Chosen,1981,7.1,Drama,
5240,North Dallas Forty,1979,6.9,"Comedy,Drama,Sport",119
5241,Hawks and Sparrows,1966,7.3,"Comedy,Drama,Fantasy",89
5242,A Bucket of Blood,1959,6.7,"Comedy,Crime,Horror",66
5243,Jab We Met,2007,7.9,"Comedy,Drama,Romance",138
5244,Funeral in Berlin,1966,6.9,Thriller,102
5245,Mid-August Lunch,2008,7,"Comedy,Drama",75
5246,Crush the Skull,2015,5.7,"Comedy,Horror,Thriller",80
5247,Puncture,2011,6.8,"Biography,Drama",100
5248,The Light of the Moon,2017,6.2,Drama,90
5249,Destination Wedding,2018,6,"Comedy,Drama,Romance",87
5250,The Blood Is at the Doorstep,2017,6.5,Documentary,90
5251,Comic-Con Episode IV: A Fan's Hope,2011,7,Documentary,88
5252,Three Came Home,1950,7.3,"Drama,War",106
5253,Shade,2003,6.3,"Crime,Thriller",101
5254,Big Sonia,2017,7.5,"Documentary,Family,History",93
5255,Wonderstruck,2017,6.2,"Drama,Mystery",116
5256,Saint Ralph,2005,7.3,"Comedy,Drama,Sport",98
5257,Bad Hair,2013,6.9,"Comedy,Horror",115
5258,Society,1989,6.5,"Comedy,Horror",99
5259,A Farewell to Arms,1932,6.5,"Drama,Romance,War",80
5260,Stigmata,1999,6.2,Horror,103
5261,"Tomorrow, When the War Began",2010,6.2,"Action,Adventure,Drama",103
5262,The Iron Mask,1929,7.1,"Action,Adventure,Family,Fantasy",120
5263,The Poughkeepsie Tapes,2007,6.1,"Horror,Mystery,Thriller",81
5264,Home for the Holidays,1995,6.6,"Comedy,Drama,Romance",103
5265,The Wild and Wonderful Whites of West Virginia,2009,7.1,Documentary,86
5266,"Christmas, Again",2014,6.6,"Drama,Romance",80
5267,He Walked by Night,1949,7.2,"Crime,Film-Noir,Thriller",79
5268,Every Little Step,2008,7.5,"Documentary,Music",96
5269,Prodigy,2017,6,"Drama,Sci-Fi,Thriller",80
5270,Bellflower,2011,6.4,"Action,Drama,Romance",106
5271,Crips and Bloods: Made in America,2008,6.9,"Documentary,Crime",93
5272,StreetDance 3D,2010,5.9,"Drama,Music,Romance",98
5273,David and Lisa,1962,7.2,Drama,95
5274,Shifty,2009,6.5,"Crime,Drama,Thriller",85
5275,Life Itself,2018,6.8,"Drama,Romance",117
5276,The Court-Martial of Billy Mitchell,1955,6.9,"Biography,Drama,War",100
5277,Fuse,2003,7.3,"Comedy,Drama",105
5278,Is Paris Burning?,1966,6.9,"Drama,History,War",175
5279,The Dog,2013,6.5,"Adventure,Drama",114
5280,Afghan Star,2009,7.3,"Documentary,Music",87
5281,Interstate 60,2002,7.7,"Adventure,Comedy,Drama,Fantasy",116
5282,Don't Come Back from the Moon,2019,5.6,Drama,82
5283,Pantani: The Accidental Death of a Cyclist,2014,7,"Documentary,Biography,Sport",96
5284,The River,1997,7.3,"Action,Adventure,Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller",44
5285,Kill Command,2016,5.7,"Action,Horror,Sci-Fi,Thriller",99
5286,Father's Little Dividend,1951,6.6,"Comedy,Romance",82
5287,워터댄스,1992,6.7,,
5288,Low Tide,2019,6.2,"Drama,Thriller",86
5289,Biggie and Tupac,2002,6.8,"Documentary,Biography,Crime,Music",108
5290,On Her Shoulders,2018,7.1,"Documentary,Biography",95
5291,Most Beautiful Island,2017,5.7,"Drama,Horror,Thriller",80
5292,The Watermelon Woman,1996,6.7,"Comedy,Drama,Romance",90
5293,The Son of Bigfoot,2017,6.1,"Animation,Adventure,Comedy,Family,Fantasy",92
5294,The Grand Seduction,2013,7,Comedy,113
5295,Black Pond,2011,5.9,"Comedy,Drama,Thriller",83
5296,A Man Called Horse,1970,6.9,"Adventure,Drama,Western",114
5297,Night Tide,1963,6.4,"Horror,Romance,Thriller",86
5298,Choose Me,1984,6.8,"Comedy,Drama,Romance",106
5299,Nina Forever,2015,5.6,"Comedy,Drama,Horror,Romance",98
5300,Aida's Secrets,2016,6.7,Documentary,90
5301,The Grocer's Son,2007,7,Drama,96
5302,Party Girl,1995,6.6,"Crime,Drama,Romance",94
5303,Hawking,2013,7.3,"Biography,Drama",90
5304,Rules of Engagement,2000,6.4,"Comedy,Romance",22
5305,The Matchmaker,2010,7.3,"Comedy,Romance",97
5306,Paul Williams Still Alive,2011,6.9,"Documentary,Biography,Comedy,Musical",87
5307,Birth of the Living Dead,2013,7,Documentary,76
5308,Elvis & Nixon,2016,6.4,"Comedy,History",86
5309,Daughters of Darkness,1971,6.6,Horror,87
5310,Archipelago,2011,6.3,Drama,114
5311,Louder Than Bombs,2015,6.6,Drama,109
5312,Pray the Devil Back to Hell,2008,7.7,Documentary,72
5313,Beat the Devil,1953,6.5,"Action,Adventure,Comedy,Crime,Drama,Romance",89
5314,Rob the Mob,2014,6.3,"Crime,Drama",104
5315,No Stone Unturned,2017,7.2,Documentary,111
5316,Possum,2018,5.6,"Drama,Horror,Mystery,Thriller",85
5317,47 Meters Down: Uncaged,2019,5,"Adventure,Drama,Horror,Thriller",90
5318,Soaked in Bleach,2015,7.4,"Documentary,Crime",90
5319,Bachna Ae Haseeno,2008,6.2,"Comedy,Drama,Romance",152
5320,The Uninvited,2009,6.3,"Drama,Horror,Mystery,Thriller",87
5321,Return to Homs,2013,7.7,"Documentary,Biography,History,News,War",94
5322,Short Eyes,1977,7.1,Drama,100
5323,Rift,2017,5.8,"Drama,Horror,Mystery",111
5324,Twins of Evil,1971,6.6,Horror,87
5325,Welcome to Me,2014,5.9,"Comedy,Drama",87
5326,Contract Killer,1998,6.2,"Crime,Drama",98
5327,Love Affair,1939,7.3,"Drama,Romance,Thriller",100
5328,The Collector,2009,6.4,"Action,Crime,Horror,Thriller",90
5329,Les Misérables,2019,7.6,"Drama,History,Musical,Romance,War",158
5330,True Legend,2010,6.4,"Action,Drama,History",115
5331,The Round Up,2010,7.1,"Drama,History,War",115
5332,Honey,2013,6.7,"Drama,Music,Romance",94
5333,The Young Karl Marx,2017,6.6,"Biography,Drama,History",118
5334,Punching the Clown,2010,7.2,Comedy,91
5335,Toast,2010,6.6,"Biography,Comedy,Drama,Romance",96
5336,"Yours, Mine and Ours",1968,7.2,"Comedy,Family,Fantasy,Romance",88
5337,Jawaani Jaaneman,2020,6.7,Comedy,119
5338,M.O.M. Mothers of Monsters,2020,5.3,Thriller,98
5339,Believer,2018,7,"Action,Crime,Thriller",123
5340,In Syria,2017,7,"Drama,War",85
5341,Never Forever,2007,6.5,"Drama,Romance",104
5342,Blood Tea and Red String,2006,7.1,"Animation,Fantasy",71
5343,Mischief Night,2013,4.6,"Drama,Horror,Thriller",87
5344,A Kiss Before Dying,1956,6.7,"Crime,Drama,Mystery,Thriller",94
5345,The Bullet Vanishes,2012,6.6,"Action,Adventure,Drama,Mystery,Thriller",108
5346,Hitler's Children,2011,7.4,"Drama,Romance",82
5347,Alleluia,2014,6.2,"Crime,Horror,Romance,Thriller",93
5348,The Wipers Times,2013,7,War,92
5349,My Kid Could Paint That,2007,7.1,"Documentary,Family,Mystery",82
5350,Lumumba,2000,7.2,"Biography,Drama,History,War",115
5351,Antrum,2018,4.7,Horror,95
5352,The Snows of Kilimanjaro,1952,6.2,"Adventure,Drama,Romance,War",114
5353,The Evil Within,2017,5.5,Horror,98
5354,Vampire's Kiss,1988,6,"Comedy,Horror",103
5355,If Only,2004,7.2,"Comedy,Drama,Fantasy,Romance",92
5356,Dark Money,2018,7,"Crime,Drama,Thriller",220
5357,Arranged,2007,7.3,"Comedy,Drama,Romance",90
5358,The Guardians,2017,6.7,"Action,Adventure,Fantasy,Sci-Fi,Thriller",89
5359,Girl Model,2011,6.5,"Documentary,Thriller",78
5360,Hum Tum,2004,7,"Comedy,Drama,Romance",142
5361,The Sadist,1963,6.7,Thriller,92
5362,16 Acres,2012,6.6,"Documentary,History,News",95
5363,Foxy Brown,1974,6.5,"Action,Crime,Thriller",92
5364,In the Aisles,2018,6.9,Drama,125
5365,Cleanskin,2012,6.3,"Action,Crime,Drama,Thriller",108
5366,The American Nightmare,2000,7.3,"Documentary,Horror",73
5367,The Boy,2016,6,"Horror,Mystery,Thriller",97
5368,Crown Heights,2017,6.5,"Biography,Crime,Drama,Romance",94
5369,The Russian Woodpecker,2015,6.8,"Documentary,War",80
5370,Are We Not Cats,2018,5.8,"Comedy,Horror,Romance",77
5371,The Private Lives of Pippa Lee,2009,6.4,"Comedy,Drama,Romance",98
5372,Eames: The Architect and the Painter,2011,7.2,"Documentary,Biography",85
5373,The Alamo,1960,6.9,"Adventure,Drama,History,War,Western",162
5374,Natasha,2015,6.3,Drama,138
5375,"Cinema, Aspirins and Vultures",2005,7.4,"Adventure,Drama",99
5376,Patterns,1956,7.7,Drama,83
5377,Evelyn,2002,7,Drama,94
5378,The Island President,2012,7.2,Documentary,101
5379,Geography Club,2013,6.5,"Comedy,Drama",84
5380,Never Goin' Back,2018,6,"Comedy,Crime,Drama",85
5381,Clear History,2013,6.5,Comedy,101
5382,In the Mirror of Maya Deren,2002,7.4,"Documentary,Biography",103
5383,Skin,2009,6.9,"Biography,Crime,Drama,Romance",118
5384,Fritz the Cat,1972,6.3,"Animation,Comedy,Drama",78
5385,The Secret of Santa Vittoria,1969,7.3,"Comedy,Drama,War",139
5386,They Call Us Monsters,2016,7.1,Documentary,82
5387,Undocumented Executive,2013,6.9,Comedy,95
5388,Nightbreed,1990,6.6,"Action,Fantasy,Horror",102
5389,The House of Magic,2013,6.3,"Animation,Adventure,Comedy,Family,Fantasy",85
5390,The Words,2012,7,"Drama,Mystery,Romance,Thriller",102
5391,Party Monster,2003,6.3,"Biography,Crime,Drama,Thriller",98
5392,The President,2014,7.4,Drama,119
5393,Teacher of the Year,2015,5.4,"Comedy,Drama",82
5394,The Brothers Grimm,2005,5.9,"Action,Adventure,Comedy,Fantasy,Horror,Mystery,Thriller",118
5395,Free Enterprise,1998,6.8,"Comedy,Romance",113
5396,Topper Returns,1941,6.9,"Comedy,Fantasy,Mystery,Romance",88
5397,The Kill Team,2013,7,"Action,Drama,Thriller,War",87
5398,Sonu Ke Titu Ki Sweety,2018,7.1,"Comedy,Romance",138
5399,The Three Musketeers,1921,7,"Action,Adventure,Fantasy,History,Romance,Thriller",110
5400,The Stuff,1985,5.9,"Comedy,Horror,Sci-Fi",87
5401,Landline,2017,6.4,"Comedy,Drama",97
5402,Empire of Dreams: The Story of the Star Wars Trilogy,2004,8.3,"Documentary,History,Sci-Fi",151
5403,Racing Dreams,2010,7,"Documentary,Sport",93
5404,The President's Last Bang,2005,6.9,"Comedy,Drama,History,Thriller",102
5405,Chi-Raq,2015,5.7,"Comedy,Crime,Drama,Musical",127
5406,Escobar: Paradise Lost,2014,6.5,"Crime,Drama,History,Romance,Thriller",120
5407,Shoot to Kill,1988,6.8,"Action,Adventure,Crime,Drama,Thriller",110
5408,Gabrielle,2013,7,"Drama,Music,Romance",104
5409,Shun Li and the Poet,2011,7.2,Drama,98
5410,Pali Road,2016,7.2,"Drama,Fantasy,Mystery,Romance,Thriller",92
5411,Into the Blue,2005,5.9,"Action,Adventure,Crime,Thriller",110
5412,The Little Girl Who Was Too Fond of Matches,2017,7,"Drama,Horror,Mystery",112
5413,Crimes of the Heart,1986,6.4,"Comedy,Drama",105
5414,The Descent: Part 2,2009,5.8,"Adventure,Horror,Thriller",94
5415,Svengali,1931,6.8,"Comedy,Music",93
5416,Scott Walker: 30 Century Man,2007,7.2,"Documentary,Biography,Music",95
5417,Happy Hunting,2017,5.1,"Horror,Western",91
5418,Punk's Not Dead,2007,7.1,"Documentary,Music",93
5419,Approaching the Elephant,2015,7,Documentary,89
5420,Graduation,2018,7.4,"Crime,Drama",128
5421,The People vs. George Lucas,2010,6.6,"Documentary,Comedy",93
5422,A River Below,2017,7.2,Documentary,86
5423,The Midwife,2017,6.7,Drama,117
5424,Funny Ha Ha,2002,6.5,"Comedy,Drama,Romance",85
5425,Me Without You,2001,6.9,Drama,107
5426,The Music of Strangers: Yo-Yo Ma and the Silk Road Ensemble,2016,7.7,"Documentary,Music",96
5427,Tales of Halloween,2015,5.5,"Comedy,Horror",92
5428,Street Scene,1931,7.6,"Drama,Romance",80
5429,Tatsumi,2011,7.1,"Animation,Biography,Drama",96
5430,Deranged,2012,6.4,"Drama,Horror,Thriller",84
5431,The Man Who Saved the World,2014,7.6,"Action,Adventure,Sci-Fi",91
5432,Voyager,1991,6.7,"Action,Adventure,Sci-Fi",44
5433,The Kennel Murder Case,1933,7,"Crime,Mystery",73
5434,Dark River,2018,5.8,"Drama,Mystery,Thriller",90
5435,Ex Libris: New York Public Library,2017,7.4,Documentary,197
5436,Battle in Seattle,2007,6.7,"Action,Drama",99
5437,Dark Blue,2002,6.6,"Crime,Drama,Thriller",118
5438,The Bellboy,1960,6.5,Comedy,72
5439,Happythankyoumoreplease,2011,6.8,"Comedy,Drama,Romance",100
5440,Bottle Shock,2008,6.8,"Comedy,Drama",110
5441,Genevieve,1953,7.1,Comedy,86
5442,River of Grass,1995,6.6,Drama,76
5443,The Bridesmaid,2004,6.6,"Thriller,Drama,Romance",111
5444,Pass Over,2018,5.6,Drama,74
5445,Bad Lucky Goat,2017,6.8,"Comedy,Drama",76
5446,Pussy Riot: A Punk Prayer,2013,7,"Documentary,Biography,Crime,Music,News",88
5447,Listen Up Philip,2014,6.3,"Comedy,Drama",108
