A Universal History of Iniquity,Jorge Luis Borges;Andrew Hurley,Fiction,3.97,2967,2004
Stamboul Train,Graham Greene,Fiction,3.46,1930,2004
Enchantress from the Stars,Sylvia Louise Engdahl,Juvenile Fiction,3.94,2031,2003
Castaways of the Flying Dutchman,Brian Jacques,Juvenile Fiction,3.99,7648,2003
Salamandastron,Brian Jacques;Gary Chalk,Juvenile Fiction,4.06,25484,2003
Riot,Shashi Tharoor,Adult children,3.7,1261,2003
Buddha,Karen Armstrong,Biography & Autobiography,3.89,3657,2004
Excursion to Tindari,Andrea Camilleri,Fiction,4.03,3174,2005
Alexander Hamilton,Ron Chernow,Biography & Autobiography,4.24,82247,2004
The Shadow of the Wind,Carlos Ruiz Zafón,Fiction,4.26,306069,2005
Jane Austen,Carol Shields,Biography & Autobiography,3.85,2221,2005
The Liars' Club,Mary Karr,Biography & Autobiography,3.93,50776,2005
Democracy Matters,Cornel West,History,3.94,1408,2005
Windblown World,Jack Kerouac;Douglas Brinkley,Biography & Autobiography,4.15,564,2006
The United States of Europe,T. R. Reid,History,3.62,681,2005
The Christians and the Fall of Rome,Edward Gibbon,History,3.57,202,2005
Why I Write,George Orwell,Language Arts & Disciplines,4.03,5874,2005
On the Road,Jack Kerouac,Fiction,3.63,480,2005
The Stone Diaries,Carol Shields,Fiction,3.86,396,2005
Collapse,Jared M. Diamond,History,3.93,49219,2006
March,Geraldine Brooks,Fiction,3.75,47704,2006
The Mermaid Chair,Sue Monk Kidd,Fiction,3.12,66723,2006
Grammar Snobs are Great Big Meanies,June Casagrande,Humor,3.78,733,2006
The City of Falling Angels,John Berendt,History,3.54,12412,2006
Bargaining for Advantage,G. Richard Shell,Business & Economics,3.94,4406,2006
The Memory Keeper's Daughter,Kim Edwards,Fiction,3.65,519878,2006
The Big Over Easy,Jasper Fforde,Fiction,3.93,26532,2006
The Read-aloud Handbook,Jim Trelease,Language Arts & Disciplines,4.4,4122,2006
Tooth and Claw,T. Coraghessan Boyle,Fiction,3.82,1165,2006
Rounding the Mark,Andrea Camilleri,Fiction,4.06,2445,2006
The Social Contract,Jean-Jacques Rousseau;Maurice Cranston,Philosophy,3.76,27463,2004
Fear and Trembling,Søren Kierkegaard,Philosophy,4,13333,2005
Bleak House,Charles Dickens;Nicola Bradbury,Fiction,4.01,77515,2006
Good Poems for Hard Times,Garrison Keillor,Poetry,4.14,2611,2006
Homegrown Democrat,Garrison Keillor,Political Science,3.96,1164,2006
Let My People Go Surfing,Yvon Chouinard,Business & Economics,4.21,6467,2006
The Joy Luck Club,Amy Tan,Fiction,3.91,550264,2006
The Kitchen God's Wife,Amy Tan,Fiction,4,64285,2006
The Bar on the Seine,Georges Simenon;David Watson,Fiction,3.69,375,2007
Eat Pray Love,Elizabeth Gilbert,Biography & Autobiography,3.54,1309623,2007
The White Man's Burden,William Easterly,Business & Economics,3.83,4317,2006
The quiet American,Graham Greene;Robert Stone,Fiction,3.97,35497,1955
Complete Short Stories,Graham Greene,Fiction,4.16,1106,2005
World of Wonders,Robertson Davies;Wayne Johnston,Fiction,4.1,3479,2006
Sodom and Gomorrah,Marcel Proust,Fiction,4.36,3039,2005
The Grapes of Wrath,John Steinbeck,Fiction,3.95,6775,1939
The Tale of Genji,Murasaki Shikibu,Fiction,3.71,148,2006
The Complete Novels,Jane Austen,Fiction,4.55,417,2006
The Adventures of Augie March,Saul Bellow;Christopher Hitchens,Fiction,3.85,14372,2006
The Dharma Bums,Jack Kerouac,Fiction,3.93,1993,1958
Malgudi Days,R. K. Narayan,Fiction,4.21,13066,1982
The Outsiders,S. E. Hinton;Jodi Picoult,Fiction,4.08,1558,1967
Sometimes a Great Notion,Ken Kesey,Fiction,4.21,557,1964
The Book of Imaginary Beings,Jorge Luis Borges;Margarita Guerrero;Andrew Hurley;Peter Sís,Fiction,4.09,4809,2006
Gravity's Rainbow,Thomas Pynchon,Fiction,4.02,28034,1973
Life is a Dream,Pedro Calderón de la Barca,Drama,3.98,154,2006
Black Lamb and Grey Falcon,Rebecca West,History,4.23,1550,2007
Mrs. Dalloway,Virginia Woolf,Fiction,3.79,167000,2002
Animal Farm and 1984,George Orwell,Fiction,4.28,140015,2003
Janet Flanner's world,Janet Flanner;Irving Drutman,Fiction,4.3,19,1979
The Stone Fey,Robin McKinley,Juvenile Fiction,3.35,1025,1998
How I Became a Pirate,Melinda Long;David Shannon,Juvenile Fiction,4.08,23328,2003
The Little Red Lighthouse and the Great Gray Bridge,Hildegarde Hoyt Swift;Lynd Ward,Juvenile Fiction,4.26,2216,2003
The Secret School,Avi,Juvenile Fiction,3.78,3540,2003
Winter is the Warmest Season,Lauren Stringer,Juvenile Fiction,3.91,360,2006
Doomed Queen Anne,Carolyn Meyer,Juvenile Fiction,3.87,3478,2004
Gifts,Ursula K. Le Guin,Juvenile Fiction,3.69,6442,2006
The Hundred Dresses,Eleanor Estes,Juvenile Fiction,4.09,29372,2004
Patience Princess Catherine,Carolyn Meyer,Juvenile Fiction,3.79,2185,2005
Voices,Ursula K. Le Guin,Juvenile Fiction,3.87,3353,2006
Apple Pie Fourth of July,Janet S. Wong;Margaret Chodos-Irvine,Juvenile Fiction,3.71,298,2006
Beauty Shop for Rent,Laura Bowers,Juvenile Fiction,3.87,758,2007
Frankenstein Makes a Sandwich,Adam Rex,Juvenile Nonfiction,4.21,1860,2006
The Sleeping Giant and Other Stories,Eleanor Estes,Folklore,4,10,1948
The Metamorphoses of Ovid,Allen Mandelbaum,Literary Criticism,4.05,685,1995
Winterdance,Gary Paulsen,Pets,4.25,5128,1994
This Is the Way the World Ends,James Morrow,Fiction,3.75,1275,1986
The Double Flame,Octavio Paz,Literary Collections,4.21,577,1996
All the King's Men,Robert Penn Warren,Fiction,4.09,45975,1982
Baltasar and Blimunda,José Saramago;Giovanni Pontiero,Fiction,3.91,5950,1998
The History of the Siege of Lisbon,José Saramago,Fiction,3.8,324,1998
Slammerkin,Emma Donoghue,Fiction,3.7,12262,2000
Blindness,José Saramago;Giovanni Pontiero,Fiction,4.11,106162,1999
All the Names,José Saramago;Margaret Jull Costa,Fiction,3.89,10634,2001
Poems New and Collected 1957-1997,Wislawa Szymborska;Stanisław Barańczak;Clare Cavanagh,Poetry,4.42,2454,2000
The Last Life,Claire Messud,Fiction,3.56,1384,2000
The Tale of the Unknown Island,José Saramago,Fiction,3.89,3138,2000
Tales from Margaritaville,Jimmy Buffett,Fiction,3.9,2366,2002
The Cyberiad,Stanislaw Lem,Fiction,4.18,7512,2002
Four Comedies,Aristophanes;Dudley Fitts,Drama,4.03,14,2002
The Common Reader,Virginia Woolf,Literary Collections,4.17,1090,1984
A Writer's Diary,Virginia Woolf;Leonard Woolf,Biography & Autobiography,4.25,3219,2003
Women and Writing,Virginia Woolf,Literary Criticism,4.07,236,2003
The Cave,José Saramago,Fiction,3.83,7390,2003
Gun with Occasional Music,Jonathan Lethem,Fiction,3.77,7863,2003
A Drink Before the War,Dennis Lehane,Fiction,3.95,28386,2003
Baudolino,Umberto Eco,Fiction,3.74,15490,2003
Mrs. Dalloway's Party,Virginia Woolf;Stella McNichol,Fiction,3.87,398,2003
The Liberated Bride,Abraham B. Yehoshua;Hillel Halkin,Fiction,3.76,449,2004
Book Club,Yann Martel,,3.9,4242,
The Female of the Species,Joyce Carol Oates,Fiction,3.6,994,2007
Flowers for Algernon,Daniel Keyes,Fiction,4.11,332849,2005
A Room of One's Own,Virginia Woolf;Susan Gubar,Fiction,4.13,828,2005
To the Lighthouse,Virginia Woolf,Fiction,3.77,488,1927
Kiffe Kiffe Tomorrow,Faïza Guène;Sarah Adams,Fiction,3.38,1026,2006
Rose of No Man's Land,Michelle Tea,Fiction,3.51,1458,2007
Three Guineas,Virginia Woolf;Jane Marcus;Mark Hussey,Fiction,3.86,2270,2006
The People of Paper,Salvador Plascencia,Fiction,4.09,4021,2005
Virginia Woolf,Julia Briggs,Biography & Autobiography,4.17,623,2006
On Literature,Umberto Eco,Literary Collections,3.95,1669,2005
The Pirates Laffite,William C. Davis,Biography & Autobiography,3.51,211,2006
Foucault's Pendulum,Umberto Eco,Fiction,3.9,44658,2007
Between the Acts,Virginia Woolf,Fiction,3.64,4202,1969
Big Anthony and the Magic Ring,Tomie DePaola,Juvenile Fiction,4.1,443,1979
The Collected Stories of Eudora Welty,Eudora Welty,Literary Collections,4.23,7003,1980
The Complete Shorter Fiction of Virginia Woolf,Virginia Woolf,Fiction,4.04,684,1989
The Diary of Anaïs Nin: 1939-1944,Anaïs Nin,Authors American,4.17,1373,1966
The Diary of Anaïs Nin,Anaïs Nin,Biography & Autobiography,4.12,307,1977
The Diary of Anaïs Nin,Anaïs Nin,Biography & Autobiography,4.16,315,1980
The Diary of Virginia Woolf: 1915-1919,Virginia Woolf,Biography & Autobiography,4.31,1262,1979
The Diary of Virginia Woolf,Virginia Woolf,Biography & Autobiography,4.37,374,1980
The Diary of Virginia Woolf: 1925-1930,Virginia Woolf,Biography & Autobiography,4.43,477,1981
The Diary of Virginia Woolf: 1931-1935,Virginia Woolf,Biography & Autobiography,4.44,213,1983
Diary Of Virginia Woolf Volume 5,Virginia Woolf,Biography & Autobiography,4.49,220,1985
Difficult Loves,Italo Calvino,Fiction,3.93,3874,1984
The Early Diary of Anaïs Nin: 1923-1927,Anaïs Nin,Biography & Autobiography,4.18,143,1985
E. M. Forster,Philip Nicholas Furbank,Biography & Autobiography,4.11,133,1981
Fiasco,Stanislaw Lem,Fiction,4.12,2125,1988
Henry and June,Anaïs Nin,Authors American,3.95,7535,1986
Homage to Catalonia,George Orwell,History,4.15,27619,1952
Incest,Anaïs Nin,Biography & Autobiography,4,279,1993
The Inheritors,William Golding,Fiction,3.53,2681,1962
Invisible Cities,Italo Calvino,Fiction,4.17,39058,1978
The Letters of Virginia Woolf: 1936-1941,Virginia Woolf,Biography & Autobiography,4.47,95,1980
Marcovaldo Or The Seasons in the City,Italo Calvino,Fiction,3.88,5381,1983
Moments of Being,Virginia Woolf,Biography & Autobiography,4.26,1661,1985
Mrs. Dalloway,Virginia Woolf,Fiction,3.79,7971,1981
Mrs. Miniver,Jan Struther,Fiction,3.96,1040,1990
Murder in the Cathedral,Thomas Stearns Eliot,Drama,3.76,6500,1963
The Nonexistent Knight & The Cloven Viscount,Italo Calvino,Fiction,4.03,4585,1977
Orlando,Virginia Woolf;Adeline Virginia Stephen Woolf,Fiction,3.86,1602,1973
The Orwell Reader,George Orwell,Literary Collections,4.37,265,1961
The Philosophy of Andy Warhol,Andy Warhol,Art,3.73,32180,1977
To the Lighthouse,Virginia Woolf,Fiction,3.77,4009,1981
Travels in Hyper Reality,Umberto Eco,Literary Collections,3.89,1982,1990
The Uses of Literature,Italo Calvino,Literary Criticism,4.07,887,1987
The Virginia Woolf Reader,Virginia Woolf,Literary Criticism,4.1,163,1984
The Waste Land,Thomas Stearns Eliot;Ezra Pound,Poetry,4.11,240,1974
The Watcher & Other Stories,Italo Calvino,Fiction,3.72,432,1975
The Waves,Virginia Woolf,Experimental fiction,4.14,19210,1959
More Readings from One Man's Wilderness,Richard Proenneke,Frontier and pioneer life,4.42,231,2005
Tales of the Norse Gods,,Juvenile Fiction,4.07,40,2001
Party Shoes,Noel Streatfeild,Children's stories,3.64,417,2002
Cart And Cwidder,Diana Wynne Jones,Juvenile Fiction,3.84,2560,2003
Moby Dick Or The White Whale,Herman Melville;Geraldine McCaughrean;Victor G. Ambrus,Juvenile Fiction,3.85,38,1998
Typhoon and Other Tales,Joseph Conrad,Fiction,3.89,565,2002
Hegel: A Very Short Introduction,Peter Singer,Philosophy,3.85,1048,2001
Emma,Jane Austen,Literary Criticism,3.99,725,2003
Pride and Prejudice,Jane Austen,Fiction,4.25,2369,2004
Persuasion,Jane Austen,Fiction,4.13,421344,2004
Mansfield Park,Jane Austen,Literary Criticism,3.85,1471,2003
Phaedrus,Plato;Robin Waterfield,Philosophy,3.91,27,2002
Egyptian Myth: A Very Short Introduction,Geraldine Pinch,History,3.62,178,2004
The Major Works,John Milton,Literary Criticism,4.22,275,2003
Gulliver's Travels,Jonathan Swift;Claude Rawson;Ian Higgins,Fiction,3.56,253,2005
A Christmas Carol and Other Christmas Books,Charles Dickens,Fiction,4.12,141,2006
Candide and Other Stories,Voltaire,Fiction,3.94,3336,2006
The Picture of Dorian Gray,Oscar Wilde,Fiction,4.07,1079,2006
Confessions,Jean-Jacques Rousseau,Literary Criticism,3.62,4755,2000
La Débâcle,Emile Zola;Elinor Dorday;Robert Lethbridge,Fiction,3.99,763,2000
Four Gothic Novels,Horace Walpole;William Beckford;Matthew Lewis;Mary W. Shelley,,3.95,143,1994
The Histories,Herodotus,History,3.98,265,1998
The First Philosophers,Robin Waterfield,Philosophy,3.93,303,2000
The Antiquary,Sir Walter Scott,Fiction,3.85,339,2002
Exemplary Stories,Miguel de Cervantes Saavedra;Lesley Lipson,Fiction,3.73,777,1998
Orestes and Other Plays,Euripides;James Morwood,Literary Criticism,4.07,146,2001
Jane Austen's Letters,Jane Austen,Fiction,4.15,2211,1997
Agricola and Germany,Tacitus,Literary Collections,3.98,25,1999
Miss Or Mrs?,Wilkie Collins,Fiction,3.79,170,1999
Great Expectations,Charles Dickens,Fiction,3.76,523790,1998
The Canterbury Tales,Geoffrey Chaucer;David Wright,Poetry,3.49,249,1998
Complete Shorter Fiction,Oscar Wilde,Fiction,4.16,1167,1998
War and Peace,Leo Tolstoy;graf Leo Tolstoy,Fiction,4.11,201919,1998
The Castle of Otranto,Horace Walpole,Fiction,3.18,15390,1998
The Bostonians,Henry James,Fiction,3.59,84,1998
The Divine Comedy,Dante Alighieri;Charles Hubert Sisson;David H. Higgins,Poetry,4.07,173,1998
Hans Andersen's Fairy Tales,Hans Christian Andersen,Juvenile Fiction,3.9,17,1998
The Karamazov Brothers,Fyodor Dostoevsky;Ignat Avsey,Fiction,4.32,232,1998
Daisy Miller and Other Stories,Henry James,Fiction,3.51,537,1998
Selected Philosophical Writings,Saint Thomas (Aquinas),Religion,3.86,234,1998
The Ladies' Paradise,Émile Zola,Fiction,3.99,5279,1998
A Sentimental Education,Gustave Flaubert,Fiction,3.83,104,2000
Faust,Johann Wolfgang von Goethe,Fiction,3.73,3394,1998
La Dame Aux Camélias,Alexandre Dumas;David Coward,Fiction,3.99,14702,1986
First Love and Other Stories,Ivan Sergeevich Turgenev,Fiction,4.12,1113,1999
The Confidence-man,Herman Melville,Literary Criticism,3.66,1812,1999
The Eclogues ; The Georgics,Virgil,Agriculture,3.82,237,1999
Scenes of Clerical Life,George Eliot,Fiction,3.78,2276,2000
Jacques the Fatalist and His Master,Denis Diderot,Fiction,3.84,4708,1999
The Notebooks of Leonardo Da Vinci,Leonardo Da Vinci;Leonardo (da Vinci),Art,3.92,67,1952
Eugene Onegin,Alexander Pushkin;James E. Falen,Fiction,4.09,39511,1998
The Admirable Crichton ; Peter Pan ; When Wendy Grew Up ; What Every Woman Knows ; Mary Rose,James Matthew Barrie,Drama,3.99,332,1999
La chartreuse de Parme,Jm Stendhal,Fiction,3.82,51,1999
Mrs Dalloway,Virginia Woolf,First loves,3.79,304,2000
Dubliners,James Joyce,Fiction,3.85,85800,2000
Evelina Or The History of a Young Lady's Entrance Into the World,Fanny Burney,Fiction,3.66,11701,2002
Aesop's Fables,Laura Gibbs,Fiction,4.05,95008,2002
A Memoir of Jane Austen,James Edward Austen-Leigh,Biography & Autobiography,3.83,880,2002
Presocratic Philosophy: A Very Short Introduction,Catherine Osborne,Philosophy,3.56,181,2004
Augustine: A Very Short Introduction,Henry Chadwick,Biography & Autobiography,3.74,219,2001
The Origins of Life,John Maynard Smith;Eörs Szathmáry,Science,4.11,41,2000
Augustine,Henry Chadwick,History,3.74,12,1986
The Hound of the Baskervilles,Sir Arthur Conan Doyle,Fiction,3.92,131,2000
Growing Old in America,David Hackett Fischer,Religion,4.2,15,1978
Alcestis,Euripides,Medical,3.83,1824,1989
Albion's Seed,David Hackett Fischer,Fiction,4.31,2163,1989
Inferno,Dante Alighieri,Literary Criticism,4,449,1997
Paul Revere's Ride,David Hackett Fischer,Art,4.11,3651,1995
Justice Oliver Wendell Holmes,G. Edward White,Literary Criticism,3.67,17,1995
Notebooks of the Mind,Vera John-Steiner,Psychology,3.81,17,1997
Masters of Small Worlds,Stephanie McCurry,History,3.71,96,1997
Ride of the Second Horseman,Robert L. O'Connell,History,4.23,12,1997
The Great Wave,David Hackett Fischer,Business & Economics,3.96,194,1999
Bakkhai,Euripides;Reginald Gibbons;Charles Segal,Drama,3.86,146,2001
Manic-Depressive Illness,Frederick K. Goodwin;Kay Redfield Jamison,Medical,4.39,103,2007
The Oresteia,Aeschylus,Drama,4.01,76,2003
El Libertador,Simón Bolívar,Literary Collections,3.85,7,2003
Medea,Eurípides;Michael Collier;Georgia Machemer,Drama,3.85,339,2006
Philosophy of Mind,David John Chalmers,Philosophy,4.07,414,2002
Norse Mythology,John Lindow,Fiction,4.1,1062,2001
Battle Cry of Freedom,James M. McPherson,History,4.34,22318,2005
Introduction to Philosophy,John Perry;Michael Bratman;John Martin Fischer,Philosophy,3.76,12,2007
Strategies of Containment,John Lewis Gaddis,History,4.01,523,2005
The Faiths of the Founding Fathers,David L. Holmes,Biography & Autobiography,3.86,450,2006
